Column name	meta.xml	db column name	percentNULL	Comments	Priority	IBP tablename	Comment									
materialSampleID	http://rs.tdwg.org/dwc/terms/materialSampleID	materialsampleid	1		X											
maximumDistanceAboveSurfaceInMeters	http://rs.tdwg.org/dwc/terms/maximumDistanceAboveSurfaceInMeters	maximumdistanceabovesurfaceinmeters	1		X											
member	http://rs.tdwg.org/dwc/terms/member	member	1		X											
minimumDistanceAboveSurfaceInMeters	http://rs.tdwg.org/dwc/terms/minimumDistanceAboveSurfaceInMeters	minimumdistanceabovesurfaceinmeters	1		X											
nameAccordingTo	http://rs.tdwg.org/dwc/terms/nameAccordingTo	nameaccordingto	1		X											
nameAccordingToID	http://rs.tdwg.org/dwc/terms/nameAccordingToID	nameaccordingtoid	1		X											
namePublishedInID	http://rs.tdwg.org/dwc/terms/namePublishedInID	namepublishedinid	1		X											
namePublishedInYear	http://rs.tdwg.org/dwc/terms/namePublishedInYear	namepublishedinyear	1		X											
nomenclaturalStatus	http://rs.tdwg.org/dwc/terms/nomenclaturalStatus	nomenclaturalstatus	1		X											
originalNameUsageID	http://rs.tdwg.org/dwc/terms/originalNameUsageID	originalnameusageid	1		X											
parentNameUsage	http://rs.tdwg.org/dwc/terms/parentNameUsage	parentnameusage	1		X											
parentNameUsageID	http://rs.tdwg.org/dwc/terms/parentNameUsageID	parentnameusageid	1		X											
